address,attempts,attempts_refunded,mint_received,refund_missing
J3RUH5QR462byKjLzRzQLQHyyimdf73hMaUCnTkjVSzi,2,0,2,0
GwzhMkrtSUGezGuBMreKbxLA9CoG1cXExGWchCct5GtA,3,1,2,0
FduwSpYB1GJQShgGbLwkz23si9xTnqWQ77W2XujUEuMG,2,0,2,0
EKaqeMHHvwvy4NQUhbvF3GcAdnbCXh2F2i4NgHdQS7SD,2,0,2,0
2jSq7wunkyczpKwmZxmf7MGrt6qXVYF7nLE1DQwCndB3,3,1,2,0
BRfk712kZzBFBosvYp9DmghPG8BdRMutV6YZ4Wu167UB,2,0,2,0
BAYxechrqkEEccg55JWMaJNde8E1CDiAtBs9MM5fPLwX,5,3,2,0
ERfFyp7z2dXJTjJZwTGTTqgGrkToLPv8CBX9azjZxnXq,3,1,2,0
2rYsfwLRuL4QCi9yKaVQhX4CE2H1JC5RUAqcCbCaAsHL,4,2,2,0
EG6RXr3FfhbzA9HcPDWVS5et92YCUKt3TTbBCzN7PdhA,3,1,2,0
4XgMQWyqGJkwAM9EYYuw6PA44TAmNKWNDiP1y9N7empf,6,4,2,0
7FkZwV4LkwUM56meUJD2NfeJBeYJ4MCWpxQhNg1qvXyr,2,0,2,0
HcaJJyYNDo7QBACNEv28rawLxmDTcS9coV2puKd7SbiK,3,1,2,0
B8oL1Sxpr4fUdrKMhMiirUSu6HGMP5SWYRSxSLdfhnyn,6,4,2,0
7baRQdL2gJuCV5DC8Ao32Fda9hVdzwria8P8HVQcmQ9R,2,0,2,0
AzcmnNf5axG8AiFMHEviKU954YbVor5NzcS6AWZkvvnD,2,0,2,0
9xz8UYir7PnM9RZrh1hnAdL6J3V7kbze7MnrzmcSTKCn,5,3,2,0
AoxqTGZi9jJufvjY5u2BTEbYofMUjuyaNQzbcfE1xMjh,2,0,2,0
E3zVL7nXhi54weB1q8fJNkW939Y1YhwvQahpk68aKCrj,3,1,2,0
LWAzE21hDrynwBZT5PaprreT3c6qzXFKXRvr7WKrgvF,5,3,2,0
HKpw7CXcETTHGZbAB5J14VnnQS3bJY6vppLqQPe6KLKt,4,2,2,0
5ZVsYqurG8NnwBQQytWPcY8eDF8Rry2bxzQvJTQUtwqG,3,1,2,0
BUp9oJCpBw9FmoXvgtoG3E1J3J2crPPRosdaFBnM48Pt,5,3,2,0
